conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
6179,True,4.253109,0.238095238095,MpF?GE_?G?w_?@??_,14,"claw_free,connected",maximum_degree,5,average_degree,2.4285714285714284,>=,2.666666666666667,14,17,0.18681318681318682,1,5,2.4285714285714284
6180,True,4.411598,0.040404040404,Jh_GM?@?KO?,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.2222222222222223,11,12,0.21818181818181817,1,4,2.1818181818181817
6181,True,4.300750,0.040404040404,Jh_GKO@?M??,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.222222222222222,11,12,0.21818181818181817,1,4,2.1818181818181817
6182,True,4.097001,0.0160312650313,_hCGWC@?G?_@?B??_?G?@??C??W??W??C??@???W???_??B???@????_???G???B????B????G???w?????o,198,"claw_free,connected",maximum_degree,5,average_degree,2.625,>=,2.6410312650312653,32,42,0.0846774193548387,2,5,2.625
6267,True,2.942027,0.428571428571,MhyGKW@?M??@?@oA?,13,"claw_free,connected",average_degree,3.0,maximum_degree,6,<=,5.571428571428571,14,21,0.23076923076923078,1,6,3.0
6268,True,3.244415,0.063829787234,njCGWC@?G?_@?@??_?G?@??C??W??G??C??@???G??@_??@???B????_???G???@????C????W????W????K????@??@_?W??K??_????@?????@??????_?????G?????@??????C??????G??????W??????C??????@???????K??????@_,124,"claw_free,connected",average_degree,2.6382978723404253,maximum_degree,5,<=,4.936170212765957,47,62,0.05735430157261795,2,5,2.6382978723404253
6269,True,3.558581,0.042471042471,MxF_GF??G?wC?@??_,14,"claw_free,connected",average_degree,2.7142857142857144,maximum_degree,5,<=,4.957528957528957,14,19,0.2087912087912088,1,5,2.7142857142857144
6272,True,0.425026,0.6,A_,1,"claw_free,connected",average_degree,1.0,clique_number,2,<=,1.4,2,1,1.0,1,1,1.0
6278,True,0.715275,0.183859623203,Nh_GKO@?KQPLaRaRpHw,277,"claw_free,connected",average_degree,4.8,clique_number,8,<=,7.816140376796536,15,36,0.34285714285714286,1,8,4.8
6352,True,0.583848,0.333333333333,A_,1,"claw_free,connected",clique_number,2,average_degree,1.0,>=,1.3333333333333335,2,1,1.0,1,1,1.0
6574,True,0.568583,1,VzCGGK@?G@_B?@??_?W?@??K??G??G??C??B???]???_,74,"claw_free,connected",total_domination_number,8,independence_number,10,<=,9.0,23,33,0.13043478260869565,2,4,2.869565217391304
6582,False,10.007982,0,A_,10224,"claw_free,connected",total_domination_number,2,matching_number,1,>=,1.0,2,1,1.0,1,1,1.0
6903,False,10.046122,0,A_,11177,"claw_free,connected",matching_number,1,total_domination_number,2,<=,2.0,2,1,1.0,1,1,1.0
688,False,10.004610,-0.359477124183,A_,5090,connected,density,1.0,proximity,1.0,>=,0.6405228758169934,2,1,1.0,1,1,1.0
713,False,10.000987,-0.109157456734,A_,6177,connected,density,1.0,remoteness,1.0,>=,0.8908425432662381,2,1,1.0,1,1,1.0
737,True,0.089427,0.00566988414939,K^~y??B?wF_^,21,connected,density,0.4393939393939394,second_smallest_laplace_eigenvalue,0.2412295168563658,>=,0.2468994010057579,12,29,0.4393939393939394,4,5,4.833333333333333
1021,True,0.123872,0.282608695652,m??_E??g??W?cAb?A@?R_R?GAEG?c@CU?O?X????AOk@?OF?`[??OO??@??GC@G???cCC?I_HQ?OG?@?ao?OC?@??c??__?OgO?C?ICC_@__e_??O?A?O?EG?G??CAB??G_??O?A?C?P?CQAS???A??B?FC@AG?OODO???@OB??I_?,94,connected,average_degree,6.434782608695652,triangle_number,32,>=,32.282608695652186,46,148,0.14299516908212562,1,11,6.434782608695652
1337,True,0.400201,0.0444444444444,gJC_A?A_oCGc?cO?W_QG?VA?aSSKCA?C?eA?AKCx@?AO??GA?@Cq??_?ac?A__????A??@?Ooh??G@?@????gAGCy???WR_CH_@QoC_?CA??@G??GWG@c?C?aDO?cC?H?KB,461,connected,triangle_number,35,average_degree,6.6,<=,6.555555555555555,40,132,0.16923076923076924,1,11,6.6
1591,False,10.000181,-0.625,A_,17303,connected,total_domination_number,2,proximity,1.0,>=,0.375,2,1,1.0,1,1,1.0
1729,False,10.000918,-0.64,A_,59303,connected,independence_number,1,proximity,1.0,>=,0.36000000000000004,2,1,1.0,1,1,1.0
1793,True,0.114918,0.000177820542179,UZ~~y???WB_N?^?^_C?????K??w?@w?@{??~c???,130,connected,independence_number,5,second_smallest_laplace_eigenvalue,0.09770914686705912,>=,0.09788696740923813,22,63,0.2727272727272727,2,6,5.7272727272727275
1892,True,0.033668,1,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1917,False,10.000202,-0.630769230769,A_,15272,connected,vertex_cover_number,1,proximity,1.0,>=,0.36923076923076925,2,1,1.0,1,1,1.0
1919,False,10.000200,-0.716783216783,A_,16632,connected,vertex_cover_number,1,proximity,1.0,>=,0.28321678321678323,2,1,1.0,1,1,1.0
2129,False,10.000676,-0.630769230769,A_,7382,connected,matching_number,1,proximity,1.0,>=,0.36923076923076925,2,1,1.0,1,1,1.0
2131,False,10.002057,-0.716783216783,A_,8688,connected,matching_number,1,proximity,1.0,>=,0.28321678321678323,2,1,1.0,1,1,1.0
2252,True,0.040683,1.01114851795,Ph_GK?@?K??@?@_???G?@_??,15,connected,randic_index,7.887157869370666,total_domination_number,11,<=,9.988851482053782,17,16,0.11764705882352941,1,6,1.8823529411764706
2882,True,5.197372,0.0833333333333,PpGGGC@O??_@?O??_?G?@??C,421,connected,second_zagreb_index,66,independent_domination_number,7,<=,6.916666666666667,17,16,0.11764705882352941,1,3,1.8823529411764706
3144,False,10.000061,-7.77777777778,A_,5298,connected,proximity,1.0,total_domination_number,2,>=,-5.777777777777778,2,1,1.0,1,1,1.0
3157,False,10.000170,-27.3333333333,A_,8155,connected,proximity,1.0,matching_number,1,>=,-26.333333333333332,2,1,1.0,1,1,1.0
3191,False,10.001515,-9.11111111111,A_,16297,connected,proximity,1.0,vertex_cover_number,1,>=,-8.11111111111111,2,1,1.0,1,1,1.0
3193,False,10.001513,-27.3333333333,A_,17103,connected,proximity,1.0,vertex_cover_number,1,>=,-26.333333333333332,2,1,1.0,1,1,1.0
3368,False,10.000098,-1.02869508086,A_,40964,connected,remoteness,1.0,matching_number,1,>=,-0.028695080860195787,2,1,1.0,1,1,1.0
3384,False,10.000030,-1.02869508086,A_,59691,connected,remoteness,1.0,vertex_cover_number,1,>=,-0.028695080860195787,2,1,1.0,1,1,1.0
3550,True,0.099258,9.9549158154,M^~~y???WB_N?^?^_,22,connected,largest_eigenvalue,5.876258043122511,triangle_number,60,<=,50.04508418460117,14,41,0.45054945054945056,5,6,5.857142857142857
3961,True,0.339850,1.13045722684,`[IaO}NM`PbkMYoB?|P|d\xE}}ExGEPQ[ISEQgxBEteGOwbrbg{_Vs}Co?Y~?sI^QYDjXGFfC?taef\K_dU???O?C,261,connected,second_smallest_laplace_eigenvalue,1.9019861016657174,average_degree,13.515151515151516,<=,12.384694288313861,33,223,0.42234848484848486,2,18,13.515151515151516
3979,True,0.151164,0.0964353760861,O~~{?CB?wFg??@??_?G?@,207,connected,second_smallest_laplace_eigenvalue,0.09361938715919038,independence_number,5,>=,5.096435376086127,16,31,0.25833333333333336,1,6,3.875
